PO_Line_ID,PO_ID,Vendor_ID,Product_ID,Department_ID,Order_Date,Expected_Delivery_Date,Actual_Delivery_Date,Quantity,Unit_Price,Currency,PO_Status
L012135,PO005506,V002,P0006,D08,2024-01-29,2024-02-08,2024-02-13,,1057.86,USD,Completed
L010846,PO004884,V036,P0091,D06,2025-05-13,2025-05-25,2025-05-24,83.0,144.76,USD,Completed
L011316,PO005116,V033,P0094,D04,2024-09-08,2024-09-14,2024-09-11,23.0,160.88,USD,Completed
L017480,PO007936,V019,P0035,D08,2025-04-15,2025-04-19,2025-04-19,31.0,1280.32,USD,Completed
L013062,PO005953,V014,P0087,D08,2025-03-17,2025-05-13,2025-05-13,5.0,22930.74,USD,Completed
L004270,PO001912,V040,P0103,D09,2025-01-02,2025-01-03,2025-01-03,50.0,144.77,USD,Completed
L003311,PO001475,V019,P0040,D03,2025-06-22,2025-06-25,2025-06-24,125.0,124.14,USD,Completed
L006956,PO003140,V015,P0070,D08,2025-04-23,2025-05-20,2025-05-19,202.0,554.86,USD,Completed
L003376,PO001505,V031,P0057,D05,2025-06-12,2025-06-18,2025-06-17,3.0,351.97,USD,Completed
L013725,PO006241,V001,P0003,D06,2024-04-22,2024-05-01,2024-04-30,19.0,1437.5,USD,Completed
L015948,PO007245,V027,P0051,D05,2024-06-16,2024-07-05,2024-07-03,14.0,1307.02,USD,Completed
L016296,PO007402,V001,P0003,D08,2024-06-02,2024-06-10,2024-06-09,22.0,1692.41,USD,Completed
L009148,PO004118,V036,P0090,D05,2025-08-15,2025-08-19,2025-08-18,65.0,254.49,USD,Completed
L008953,PO004032,V019,P0040,D06,2024-05-16,2024-05-22,2024-05-20,192.0,116.89,USD,Completed
L004230,PO001894,V017,P0037,D07,2024-07-09,2024-07-11,2024-07-10,29.0,718.16,USD,Completed
L002449,PO001094,V037,P0091,D07,2024-04-17,2024-04-23,2024-05-08,64.0,110.81,USD,Completed
L013582,PO006180,V010,P0073,D09,2024-06-21,2024-07-26,2024-07-26,2579.0,4.41,USD,Completed
L018412,PO008340,V039,P0104,D09,2024-02-04,2024-02-07,2024-02-05,30.0,252.22,USD,Completed
L002749,PO001218,V011,P0073,D09,2024-11-05,2024-12-02,2024-12-01,1715.0,4.52,USD,Completed
L017126,PO007771,V006,P0022,D04,2024-05-29,2024-06-05,,100.0,32.14,USD,Open
L005834,PO002629,V034,P0096,D06,2025-10-11,2025-10-21,2025-10-20,3.0,5364.75,USD,Completed
L016471,PO007478,V017,P0037,D08,2024-12-01,2024-12-06,2024-12-05,66.0,735.71,USD,Completed
L010981,PO004951,V005,P0019,D06,2024-09-25,2024-10-13,2024-10-11,5.0,1509.25,USD,Completed
L018209,PO008256,V022,P0033,D01,2025-09-28,2025-09-30,2025-09-29,148.0,129.84,USD,Completed
L017411,PO007904,V015,P0070,D09,2025-03-25,2025-04-22,2025-04-19,202.0,558.02,USD,Completed
L010734,PO004830,V017,P0036,D01,2024-07-15,2024-07-17,2024-07-27,24.0,1724.84,USD,Completed
L018308,PO008293,V003,P0025,D06,2024-03-13,2024-03-18,2024-03-16,95.0,73.06,USD,Completed
L018023,PO008180,V023,P0046,D02,2025-04-26,2025-04-30,2025-04-29,42.0,151.6,usd,Completed
L009093,PO004094,V017,P0032,D01,2024-07-07,2024-07-08,2024-07-13,149.0,226.45,USD,Completed
L013311,PO006059,V026,P0047,D06,2025-01-21,2025-01-27,2025-02-08,35.0,83.71,USD,Completed
L002741,PO001216,V025,P0051,D02,2025-08-06,2025-08-15,2025-08-13,18.0,1081.89,USD,Completed
L004611,PO002067,V014,P0078,D02,2024-09-14,2024-09-23,2024-09-21,912.0,34.68,USD,Completed
L015218,PO006915,V022,P0028,D01,2024-10-24,2024-10-27,2024-10-26,229.0,253.29,USD,Completed
L009751,PO004391,V030,P0064,D02,2024-01-30,2024-02-05,2024-02-05,4.0,2232.18,Usd,Completed
L016503,PO007492,V023,P0049,D01,2024-05-29,2024-05-31,2024-05-31,147.0,27.84,USD,Completed
L017273,PO007838,V026,P0053,D03,2025-10-11,2025-10-22,2025-10-19,40.0,1050.53,USD,Completed
L005926,PO002676,V004,P0020,D06,2025-05-23,2025-06-01,2025-07-05,7.0,955.32,USD,Completed
L007554,PO003406,V035,P0089,D09,2025-07-20,2025-07-23,2025-07-21,51.0,293.24,USD,Completed
L001444,PO000647,V005,P0019,D06,2024-10-26,2024-11-08,2024-11-08,10.0,1354.33,USD,Completed
L007812,PO003517,V003,P0008,D01,2024-02-02,2024-02-11,2024-02-08,8.0,473.55,USD,Completed
L007629,PO003435,V017,P0037,D01,2024-07-03,2024-07-04,2024-07-04,83.0,744.53,USD,Completed
L004979,PO002240,V036,P0094,D03,2025-12-19,2025-12-24,,83.0,178.1,USD,Open
L013173,PO005996,V016,P0072,D08,2025-11-08,2025-12-03,2025-12-05,990.0,90.4,USD,Completed
L006673,PO003017,V031,P0064,D02,2024-06-12,2024-06-13,,11.0,1429.26,USD,Cancelled
L005934,PO002678,V022,P0039,D08,2024-08-01,2024-08-06,2024-08-05,117.0,189.95,USD,Completed
L000504,PO000237,V033,P0098,D08,2024-09-27,2024-10-10,2024-10-07,2.0,3784.8,USD,Completed
L010557,PO004750,V027,P0045,D05,2024-02-20,2024-02-22,2024-02-22,23.0,85.72,USD,Completed
L011338,PO005128,V037,P0096,D05,2024-08-24,2024-08-30,2024-09-16,4.0,3146.77,USD,Completed
L000829,PO000384,V022,P0033,D04,2024-12-02,2024-12-05,2024-12-03,197.0,125.52,USD,Completed
L004346,PO001947,V035,P0091,D01,2025-05-28,2025-06-06,2025-06-05,160.0,110.87,USD,Completed
L009195,PO004140,V035,P0089,D05,2024-02-29,2024-03-11,2024-03-09,56.0,282.49,USD,Completed
L014928,PO006779,V031,P0058,D05,2025-08-02,2025-08-12,2025-08-09,4.0,622.75,USD,Completed
L012803,PO005831,V005,P0007,D01,2024-07-02,2024-07-08,2024-07-07,24.0,129.9,USD,Completed
L013053,PO005949,V040,P0105,D02,2024-10-02,2024-10-05,2024-10-04,9.0,4366.08,USD,Completed
L006073,PO002745,V033,P0093,D09,2024-02-09,2024-02-12,2024-02-11,19.0,197.3,USD,Completed
L016902,PO007671,V001,P0013,D08,2024-10-10,2024-10-15,2024-10-15,35.0,177.31,USD,Completed
L017147,PO007780,V030,P0064,D02,2025-10-27,2025-10-31,2025-11-25,7.0,2430.94,USD,Completed
L015967,PO007254,V017,P0036,D06,2025-01-28,2025-01-29,2025-01-29,90.0,1592.82,USD,Completed
L002617,PO001169,V017,P0038,D03,2024-10-17,2024-10-21,2024-10-19,92.0,86.26,USD,Completed
L003048,PO001356,V035,P0097,D09,2025-11-01,2025-11-23,2025-11-20,5.0,3964.61,USD,Completed
L011270,PO005095,V016,P0084,D08,2025-07-22,2025-09-10,2025-09-13,2.0,1863.86,Usd,Completed
L003209,PO001428,V027,P0049,D05,2024-01-03,2024-01-06,2024-01-04,79.0,27.0,USD,Completed
L006563,PO002970,V036,P0090,D02,2024-08-02,2024-08-15,2024-08-15,148.0,212.19,USD,Completed
L009896,PO004459,V020,P0037,D03,2025-07-13,2025-07-14,2025-07-15,100.0,618.1,USD,Completed
L011734,PO005319,V036,P0090,D08,2025-12-22,2026-01-05,,155.0,225.63,USD,Open
L009573,PO004309,V022,P0039,D06,2025-01-19,2025-01-22,2025-01-22,104.0,200.89,USD,Completed
L011752,PO005328,V012,P0072,D02,2025-03-20,2025-04-19,,990.0,111.05,USD,Cancelled
L017224,PO007813,V031,P0064,D05,2024-07-29,2024-07-30,2024-07-31,8.0,1555.69,USD,Completed
L015253,PO006931,V032,P0063,D05,2025-12-20,2025-12-26,,6.0,,USD,Open
L000386,PO000185,V033,P0098,D08,2025-11-20,2025-11-26,,5.0,3585.96,USD,Open
L004694,PO002108,V009,P0085,D08,2024-02-09,2024-03-24,2024-03-23,4.0,9719.41,USD,Completed
L001600,PO000722,V039,P0099,D09,2025-06-26,2025-06-30,2025-06-27,12.0,410.73,USD,Completed
L006736,PO003050,V020,P0031,D07,2024-10-02,2024-10-04,2024-10-04,241.0,385.36,USD,Completed
L004878,PO002196,V003,P0018,D03,2025-12-12,2025-12-23,,17.0,1755.97,USD,Open
L012931,PO005894,V028,P0059,D05,2025-12-11,2025-12-22,2025-12-21,10.0,201.9,USD,Completed
L001347,PO000607,V024,P0044,D07,2025-04-22,2025-04-24,2025-04-23,51.0,162.91,USD,Completed
L007301,PO003292,V040,P0101,D09,2024-04-09,2024-04-16,2024-04-14,5.0,410.73,USD,Completed
L010445,PO004701,V025,P0055,D07,2024-09-10,2024-09-19,2024-09-16,33.0,622.88,USD,Completed
L006502,PO002943,V027,P0045,D06,2024-03-18,2024-03-20,2024-03-20,82.0,83.58,USD,Completed
L000327,PO000159,V031,P0059,D02,2025-11-12,2025-11-15,2025-11-14,3.0,186.74,USD,Completed
L006162,PO002786,V011,P0075,D08,2024-07-28,2024-09-09,2024-09-09,282.0,333.98,USD,Completed
L010352,PO004654,V016,P0076,D09,2025-10-08,2025-11-12,2025-11-12,273.0,319.98,USD,Completed
L002035,PO000910,V033,P0098,D03,2024-10-23,2024-10-29,2024-10-27,4.0,3247.89,USD,Completed
L001053,PO000482,V022,P0028,D01,2024-05-14,2024-05-19,2024-05-19,161.0,247.91,USD,Completed
L009572,PO004309,V019,P0031,D06,2025-01-19,2025-01-24,2025-01-28,127.0,388.25,USD,Completed
L005091,PO002293,V021,P0033,D07,2024-02-16,2024-02-20,2024-02-22,86.0,134.23,USD,Completed
L008143,PO003665,V040,P0105,D02,2024-10-26,2024-10-27,2024-10-27,3.0,5057.25,USD,Completed
L013009,PO005926,V007,P0018,D06,2024-03-03,2024-03-14,2024-03-11,14.0,1751.48,USD,Completed
L012421,PO005637,V029,P0061,D09,2024-10-22,2024-10-30,2024-11-06,3.0,1140.36,USD,Completed
L005715,PO002568,V017,P0029,D07,2024-11-24,2024-11-27,2024-11-25,271.0,346.6,USD,Completed
L019562,PO008879,V019,P0038,D01,2024-09-30,2024-10-05,2024-10-04,45.0,56.05,USD,Completed
L011199,PO005057,V025,P0046,D05,2024-01-07,2024-01-14,2024-01-16,37.0,125.14,USD,Completed
L013913,PO006332,V017,P0033,D03,2024-07-29,2024-07-30,2024-07-30,242.0,129.14,USD,Completed
L017257,PO007829,V023,P0050,D02,2024-10-25,2024-10-28,2024-10-28,105.0,12.89,USD,Completed
L014770,PO006708,V031,P0057,D02,2024-05-12,2024-05-21,2024-05-19,7.0,308.07,USD,Completed
L015850,PO007195,V004,P0011,D01,2024-09-09,2024-09-13,2024-09-12,30.0,100.51,USD,Completed
L001535,PO000688,V012,P0076,D09,2024-10-12,2024-10-28,2024-10-26,273.0,401.19,USD,Completed
L018914,PO008576,V027,P0053,D07,2025-08-07,2025-08-17,2025-08-17,33.0,1286.34,USD,Completed
L006688,PO003023,V022,P0034,D01,2024-02-12,2024-02-17,2024-02-15,96.0,591.66,USD,Completed
L003785,PO001691,V023,P0055,D05,2025-10-17,2025-11-03,2025-10-31,22.0,872.76,USD,Completed
L005024,PO002258,V037,P0093,D09,2024-05-06,2024-05-11,2024-05-11,38.0,156.78,USD,Completed
L019238,PO008736,V037,P0092,D06,2024-12-25,2024-12-29,2025-01-20,75.0,153.52,USD,Completed
L012287,PO005578,V017,P0033,D08,2025-08-13,2025-08-16,2025-08-23,115.0,152.84,USD,Completed
L002233,PO001000,V020,P0037,D03,2025-10-01,2025-10-02,2025-10-02,76.0,570.55,USD,Completed
L018968,PO008596,V040,P0101,D02,2024-06-28,2024-06-29,2024-06-29,9.0,398.43,USD,Completed
L006069,PO002743,V027,P0051,D06,2025-03-01,2025-03-08,,20.0,1459.51,USD,Open
L019120,PO008676,V032,P0066,D05,2025-05-04,2025-05-08,2025-05-06,115.0,97.26,USD,Completed
L005712,PO002567,V002,P0007,D08,2025-03-16,2025-03-25,,35.0,149.48,USD,Cancelled
L003687,PO001651,V011,P0077,D09,2024-08-29,2024-09-09,2024-09-07,430.0,229.93,USD,Completed
L009621,PO004331,V031,P0058,D09,2025-06-15,2025-06-22,2025-06-19,2.0,614.52,USD,Completed
L007651,PO003443,V027,P0043,D06,2024-08-12,2024-08-17,2024-08-14,156.0,3.93,USD,Completed
L005392,PO002431,V001,P0002,D08,2025-05-18,2025-05-26,2025-05-24,25.0,2018.16,USD,Completed
L014564,PO006619,V009,P0085,D09,2025-02-28,2025-03-25,2025-03-23,4.0,9071.06,USD,Completed
L005567,PO002508,V003,P0025,D08,2025-04-27,2025-05-03,2025-04-30,71.0,71.48,USD,Completed
L010910,PO004916,V011,P0078,D02,2024-12-05,2024-12-18,2024-12-16,561.0,25.53,USD,Completed
L016571,PO007520,V037,P0092,D03,2025-08-29,2025-09-01,2025-09-09,54.0,160.05,USD,Completed
L006445,PO002917,V009,P0071,D08,2025-10-22,2025-10-29,2025-11-03,258.0,441.28,USD,Completed
L016156,PO007337,V025,P0046,D04,2025-06-30,2025-07-05,2025-07-05,39.0,122.83,USD,Completed
L016703,PO007580,V029,P0066,D02,2025-06-15,2025-06-24,2025-06-24,151.0,91.51,USD,Completed 
L014312,PO006505,V012,P0073,D08,2024-01-06,2024-01-15,2024-01-14,5000.0,4.7,USD,Completed
L001912,PO000861,V028,P0060,D09,2025-12-03,2025-12-07,,10.0,886.82,USD,Open
L010523,PO004736,V002,P0005,D09,2024-05-24,2024-05-29,2024-05-27,13.0,1109.42,USD,Completed
L001035,PO000474,V001,P0013,D07,2025-07-02,2025-07-04,2025-07-22,23.0,186.43,USD,Completed
L011481,PO005195,V015,P0070,D02,2025-07-27,2025-08-07,2025-08-12,202.0,573.78,USD,Completed
L000879,PO000407,V022,P0034,D08,2025-10-21,2025-10-24,2025-10-23,179.0,610.89,USD,Completed
L018239,PO008266,V028,P0059,D02,2024-06-12,2024-06-19,2024-06-16,3.0,223.96,USD,Completed
L018153,PO008234,V032,P0063,D05,2024-06-23,2024-06-27,2024-06-26,9.0,4099.59,USD,Completed
L018439,PO008353,V027,P0050,D04,2024-05-17,2024-05-18,2024-05-18,122.0,12.58,USD,Completed
L008827,PO003973,V002,P0015,D08,2024-04-18,2024-04-23,2024-04-20,26.0,103.54,USD,Completed
L003985,PO001784,V034,P0092,D07,2025-09-09,2025-09-18,2025-09-21,58.0,251.89,USD,Completed
L014901,PO006767,V029,P0067,D05,2025-12-22,2025-12-28,,52.0,34.65,USD,Open
L010958,PO004942,V002,P0015,D08,2024-07-23,2024-07-31,2024-08-05,24.0,94.53,USD,Completed
L007192,PO003245,V013,P0079,D09,2024-11-07,2024-11-11,,902.0,129.19,USD,Open
L001839,PO000826,V003,P0005,D08,2025-09-28,2025-10-09,2025-10-10,23.0,867.09,USD,Completed
L005654,PO002544,V031,P0057,D05,2024-09-07,2024-09-08,2024-09-11,3.0,340.43,USD,Completed
L001607,PO000725,V019,P0040,D01,2024-10-22,2024-10-28,2024-10-25,73.0,125.82,USD,Completed
L011545,PO005226,V003,P0013,D07,2024-08-29,2024-09-03,2024-09-08,35.0,188.86,USD,Completed
L016815,PO007632,V040,P0101,D09,2025-02-21,2025-02-28,2025-02-28,11.0,388.45,USD,Completed
L004510,PO002027,V040,P0102,D02,2024-11-05,2024-11-08,2024-11-27,39.0,274.2,USD,Completed
L010538,PO004741,V019,P0031,D01,2025-03-14,2025-03-16,2025-03-16,111.0,388.84,USD,Completed
L006481,PO002934,V035,P0089,D08,2025-08-25,2025-08-28,2025-08-26,39.0,321.81,USD,Completed
L006848,PO003093,V040,P0105,D09,2024-11-13,2024-11-14,2024-12-14,4.0,5062.43,USD,Completed
L006585,PO002979,V020,P0038,D08,2024-05-21,2024-05-25,2024-05-25,49.0,60.13,USD,Completed
L017007,PO007723,V036,P0093,D03,2024-02-21,2024-02-25,2024-02-22,58.0,236.81,USD,Completed
L001163,PO000528,V029,P0056,D05,2025-12-25,2026-01-01,,6.0,3153.51,USD,Open
L011851,PO005371,V033,P0098,D09,2025-05-27,2025-06-17,2025-06-21,3.0,3714.11,USD,Completed
L019013,PO008622,V036,P0095,D08,2025-02-10,2025-02-17,,,249.29,USD,Cancelled
L019257,PO008745,V032,P0059,D05,2025-10-28,2025-11-05,2025-11-07,6.0,245.99,USD,Completed
L012106,PO005496,V016,P0074,D09,2024-04-04,2024-04-28,2024-05-14,245.0,368.92,USD,Completed
L005901,PO002662,V041,P0099,D02,2024-06-24,2024-07-02,2024-06-29,5.0,358.47,USD,Completed
L015794,PO007170,V033,P0092,D04,2025-11-14,2025-11-17,2025-12-16,85.0,178.68,USD,Completed
L011828,PO005362,V037,P0088,D08,2024-05-19,2024-06-02,2024-05-30,53.0,215.79,USD,Completed
L018864,PO008552,V002,P0007,D06,2024-03-29,2024-04-04,2024-04-10,9.0,175.24,USD,Completed
L013120,PO005977,V036,P0090,D09,2024-05-17,2024-05-24,2024-05-21,60.0,246.86,USD,Completed
L015096,PO006860,V012,P0077,D09,2025-10-23,2025-11-02,2025-10-30,430.0,264.15,USD,Completed
L013463,PO006125,V029,P0056,D02,2025-06-13,2025-06-26,2025-06-26,6.0,3487.52,USD,Completed
L018067,PO008198,V027,P0051,D02,2024-09-29,2024-10-09,2024-10-08,13.0,1372.71,USD,Completed
L000342,PO000166,V019,P0035,D06,2024-02-16,2024-02-20,2024-02-20,14.0,1359.4,USD,Completed
L004220,PO001891,V016,P0069,D08,2025-11-25,2025-12-07,2025-12-30,2555.0,34.11,USD,Completed
L012567,PO005710,V037,P0095,D07,2025-07-16,2025-07-18,2025-07-17,32.0,167.28,USD,Completed
L010780,PO004853,V027,P0042,D02,2025-10-10,2025-10-13,,246.0,8.87,USD,Cancelled
L007111,PO003208,V021,P0033,D01,2024-07-29,2024-08-01,2024-08-10,113.0,136.1,USD,Completed
L013073,PO005959,V012,P0071,D08,2025-08-22,2025-09-20,2025-09-17,258.0,399.67,USD,Completed
L018770,PO008504,V019,P0028,D04,2025-04-18,2025-04-21,2025-04-20,201.0,229.58,USD,Completed
L007935,PO003571,V014,P0086,D08,2024-09-02,2024-10-05,2024-10-03,5.0,10181.87,USD,Completed
L013662,PO006213,V017,P0032,D03,2024-02-25,2024-02-28,2024-02-28,199.0,207.07,USD,COMPLETED
L014583,PO006630,V040,P0101,D02,2025-03-25,2025-03-28,2025-03-28,15.0,405.03,USD,Completed
L010269,PO004619,V019,P0035,D03,2025-02-28,2025-03-07,2025-03-06,42.0,1457.72,USD,Completed
L003473,PO001549,V027,P0042,D03,2025-05-08,2025-05-10,2025-05-10,276.0,8.29,USD,Completed
L005352,PO002414,V027,P0047,D02,2024-02-04,2024-02-07,2024-02-15,80.0,92.66,USD,Completed
L014394,PO006537,V030,P0066,D05,2024-03-29,2024-04-03,2024-04-11,116.0,99.56,USD,Completed
L013574,PO006177,V018,P0031,D08,2024-07-04,2024-07-09,2024-07-09,133.0,354.48,USD,Completed
L011377,PO005148,V020,P0039,D01,2024-12-03,2024-12-06,2024-12-06,189.0,168.38,USD,Completed
L012123,PO005502,V011,P0082,D08,2025-03-12,2025-03-28,2025-03-27,529.0,183.38,USD,Completed
L006726,PO003045,V039,P0100,D02,2025-01-03,2025-01-07,2025-01-04,12.0,1047.69,USD,Completed
L003634,PO001624,V017,P0029,D07,2024-11-30,2024-12-01,2024-12-01,278.0,350.55,USD,Completed
L011038,PO004972,V025,P0041,D06,2024-11-25,2024-11-27,2024-12-02,263.0,3.76,USD,Completed
L004029,PO001802,V036,P0094,D06,2024-06-28,2024-07-01,2024-06-29,96.0,175.97,USD,Completed
L010057,PO004535,V033,P0093,D09,2025-02-14,2025-02-21,,63.0,203.39,USD,Open
L005479,PO002468,V009,P0071,D09,2024-04-29,2024-05-14,2024-05-12,258.0,460.09,USD,Completed
L003538,PO001576,V018,P0027,D01,2025-12-19,2025-12-21,2025-12-21,112.0,111.34,USD,Completed
L003754,PO001678,V002,P0017,D08,2024-10-01,2024-10-13,2024-10-13,5.0,1266.85,USD,Completed
L015702,PO007126,V009,P0086,D09,2025-06-30,2025-08-25,2025-08-22,5.0,10274.85,USD,Completed
L007079,PO003194,V006,P0022,D01,2024-11-17,2024-11-22,2024-11-19,36.0,33.25,USD,Completed
L003616,PO001616,V018,P0036,D08,2024-08-27,2024-09-04,2024-10-13,50.0,1047.57,USD,Completed
L013577,PO006178,V025,P0051,D07,2025-02-16,2025-03-05,2025-03-14,37.0,1023.11,USD,Completed
L003966,PO001773,V012,P0072,D02,2025-11-07,2025-12-20,,990.0,113.69,USD,Cancelled
L010045,PO004529,V037,P0088,D07,2024-05-17,2024-05-31,2024-06-28,61.0,209.77,USD,Completed
L016852,PO007647,V040,P0103,D09,2024-02-26,2024-02-27,,20.0,153.53,USD,Cancelled
L003795,PO001694,V015,P0084,D09,2025-05-01,2025-06-11,2025-06-08,5.0,2204.25,USD,Completed
L014594,PO006634,V020,P0029,D01,2024-01-20,2024-01-22,2024-01-25,483.0,243.18,USD,Completed
L008055,PO003630,V036,P0096,D03,2025-08-18,2025-08-24,2025-08-23,4.0,4253.42,USD,Completed
L017660,PO008016,V018,P0035,D01,2025-03-03,2025-03-07,2025-03-04,81.0,1154.67,USD,Completed
L006428,PO002910,V026,P0048,D02,2024-09-03,2024-09-05,2024-09-04,95.0,23.3,USD,Completed
L000467,PO000216,V014,P0086,D09,2025-01-23,2025-03-01,2025-03-04,5.0,10907.59,USD,Completed
L013992,PO006366,V031,P0059,D05,2025-08-07,2025-08-08,,3.0,182.1,USD,Cancelled
L009261,PO004174,V033,P0093,D07,2024-09-24,2024-10-03,2024-10-22,70.0,199.47,USD,Completed
L013111,PO005973,V019,P0027,D01,2025-02-26,2025-02-28,2025-03-08,252.0,120.02,USD,Completed
L017943,PO008143,V029,P0063,D02,2025-09-11,2025-09-18,2025-09-26,6.0,4608.04,USD,Completed
L008876,PO003995,V032,P0063,D05,2025-08-29,2025-09-02,2025-09-07,6.0,5159.51,USD,Completed
L018958,PO008591,V030,P0059,D05,2025-09-28,2025-10-06,2025-10-06,7.0,241.33,USD,Completed
L012482,PO005667,V033,P0092,D09,2025-11-03,2025-11-11,2025-11-10,41.0,197.93,USD,Completed
L019293,PO008764,V024,P0049,D05,2025-05-30,2025-06-03,2025-06-04,110.0,25.23,USD,Completed
L014171,PO006442,V028,P0056,D02,2024-02-28,2024-03-02,2024-03-01,10.0,2725.37,USD,Completed
L009464,PO004263,V026,P0054,D06,2024-08-09,2024-08-31,2024-08-31,12.0,1078.8,USD,Completed
L000425,PO000200,V036,P0090,D01,2024-06-06,2024-06-08,2024-06-07,134.0,210.86,USD,Completed
L014742,PO006696,V040,P0102,D02,2024-08-03,2024-08-05,2024-08-05,50.0,283.08,USD,Completed
L002713,PO001207,V019,P0028,D07,2025-09-01,2025-09-07,2025-09-08,283.0,227.75,USD,Completed
L006751,PO003056,V039,P0099,D02,2025-09-27,2025-10-02,2025-10-02,17.0,371.46,USD,Completed
L005864,PO002643,V035,P0093,D08,2024-06-04,2024-06-14,2024-06-14,42.0,206.26,USD,Completed
L007101,PO003204,V033,P0094,D09,2025-06-06,2025-06-09,2025-06-23,86.0,151.28,USD,Completed
L008890,PO004000,V036,P0094,D09,2024-01-31,2024-02-06,2024-02-04,103.0,177.66,USD,Completed
L013131,PO005981,V004,P0003,D03,2024-06-26,2024-07-06,2024-07-30,31.0,1439.7,USD,Completed
L014945,PO006789,V035,P0089,D07,2024-09-17,2024-09-27,,61.0,316.56,USD,Cancelled
L015773,PO007161,V026,P0041,D05,2025-12-04,2025-12-09,2025-12-06,311.0,4.01,USD,Completed
L011762,PO005332,V005,P0021,D08,2024-08-10,2024-08-23,2024-08-20,10.0,1848.27,USD,Completed
L018353,PO008314,V022,P0034,D01,2025-12-24,2025-12-28,2025-12-25,259.0,572.25,USD,Completed
L003636,PO001625,V017,P0033,D01,2025-05-08,2025-05-09,2025-05-09,98.0,152.35,USD,Completed
